StudentId,E,M,S,H,P,F,A,Avg
Student58,45,69,80,80,65,0,0,61
Student59,0,65,0,85,90,98,0,84
Student60,83,88,83,0,100,0,0,91
Student61,77,65,87,87,90,0,0,83
Student62,90,98,68,90,90,96,88,89
Student63,0,0,95,0,90,0,0,90
Student64,88,0,0,82,95,0,0,88
Student65,0,83,95,92,65,100,0,87
Student66,0,0,75,0,90,0,0,80
Student67,0,93,95,91,95,0,0,93
Student68,81,80,85,0,76,93,0,83
Student69,83,100,100,0,95,96,0,95
Student70,0,94,80,0,80,0,0,84
Student71,45,0,65,0,85,45,0,62
Student72,98,89,0,89,94,0,0,92
Student73,87,65,90,80,100,0,0,84
Student74,0,86,95,88,100,100,0,94
Student75,82,0,75,0,90,0,0,82
Student76,0,90,95,0,75,96,0,89
Student77,65,65,83,0,88,0,0,76
Student78,0,90,0,93,100,0,0,95
Student79,45,55,55,0,80,0,0,62
Student80,0,0,0,0,80,0,75,79
Student81,0,0,0,0,100,0,93,97
Student82,0,0,80,0,65,0,0,82
Student83,87,0,90,0,100,70,0,88
Student84,0,0,0,0,100,0,100,100
Student85,45,45,65,45,65,0,0,51
Student86,94,87,76,0,91,87,0,90
Student87,90,0,0,0,85,55,0,78
Student88,85,84,100,0,95,90,83,92
Student89,0,85,85,0,95,0,0,88
Student90,72,65,65,67,74,0,0,71
Student91,99,90,89,94,85,0,99,91
Student92,0,80,85,87,95,0,0,87
Student93,0,0,0,87,95,0,0,89
Student94,83,0,90,0,90,0,0,89
Student95,96,65,92,0,85,80,0,83
Student96,93,0,85,0,95,83,75,89
Student97,45,45,45,45,90,45,0,51
Student98,0,0,74,0,95,0,0,84
Student99,0,85,0,0,85,0,0,85
Student100,45,45,45,45,65,0,0,52
Student101,94,98,90,0,95,0,0,94
Student102,0,85,0,96,98,86,98,94
Student103,0,94,90,0,90,0,0,91
Student104,0,88,84,0,90,0,0,88
Student105,0,0,95,0,65,0,0,85
Student106,90,80,100,90,95,95,0,92
Student107,93,65,65,0,75,55,0,70
Student108,0,92,0,93,85,0,0,90
Student109,45,45,100,65,70,65,0,66
Student110,0,88,0,91,80,100,0,90
Student111,65,0,0,0,75,0,0,70
Student112,0,79,85,0,95,91,0,88
Student113,0,0,79,0,90,0,73,81
Student114,65,65,80,70,90,0,0,72
Student115,74,0,95,65,85,0,65,78
Student116,75,0,78,0,70,0,0,75
Student117,98,99,100,100,100,100,0,99
Student118,0,0,0,0,80,0,0,83
Student119,99,100,95,99,100,96,0,98
Student120,94,94,95,0,100,92,0,95
Student121,0,85,0,0,80,0,85,84
Student122,86,85,92,89,80,83,0,86
Student123,0,0,45,0,85,0,0,65
Student124,0,98,88,0,95,96,0,94
Student125,45,65,70,0,70,0,77,62
Student126,0,96,99,85,93,0,0,94
Student127,82,67,90,65,95,0,94,81
Student128,45,0,45,45,45,0,0,48
Student129,0,0,75,80,90,0,0,82
Student130,0,0,0,94,90,0,95,96
Student131,0,97,96,0,95,0,0,96
Student132,0,0,75,85,95,0,0,89
Student133,95,87,90,0,90,0,85,88
Student134,78,0,100,0,95,0,0,88
Student135,83,84,84,0,100,91,0,90
Student136,88,89,91,90,88,0,0,89
Student137,88,85,90,0,95,0,0,90
Student138,94,90,99,0,100,99,0,95
Student139,86,0,95,0,100,0,0,92
Student140,0,45,0,0,65,0,0,54
Student141,78,65,0,65,95,0,0,78
Student142,0,84,100,95,90,93,99,93
Student143,45,65,65,55,45,0,45,51
Student144,45,72,65,82,90,0,0,77
Student145,73,68,65,55,65,0,0,65
Student146,85,0,65,0,100,0,0,88
Student147,0,90,87,0,99,92,0,92
Student148,92,89,0,0,95,98,0,93
Student149,85,87,97,0,93,0,0,91
Student150,0,71,0,0,95,80,0,79
Student151,0,100,96,0,100,99,0,99
Student152,95,98,99,0,100,85,0,95
Student153,91,90,88,94,98,100,0,94
Student154,92,68,79,95,80,0,0,84
Student155,0,83,87,95,100,85,0,92
Student156,85,67,85,0,65,69,0,69
Student157,65,0,65,65,70,65,0,67
Student158,87,93,100,87,100,100,93,93
Student159,92,83,70,0,80,88,0,82
Student160,95,86,96,96,100,95,0,95
Student161,45,45,45,45,45,0,0,46
Student162,78,67,100,0,65,66,0,76
Student163,85,88,100,0,65,0,0,85
Student164,94,95,100,0,90,70,0,90
Student165,55,65,65,68,90,65,0,71
Student166,0,0,65,80,95,0,0,80
Student167,65,0,0,0,95,0,65,72
Student168,0,83,0,78,80,0,0,85
Student169,78,90,75,77,90,72,0,80
Student170,65,45,73,0,89,65,0,67
Student171,75,91,81,0,95,71,0,81
Student172,0,0,65,0,66,0,0,66
Student173,55,0,45,45,65,45,0,49
Student174,45,0,45,0,65,45,0,53
Student175,0,0,0,0,45,0,80,62
Student176,95,69,80,0,80,0,0,83
Student177,100,0,91,99,100,98,0,97
Student178,0,65,0,0,85,0,65,72
Student179,75,55,65,0,98,0,55,73
Student180,45,66,0,65,83,0,0,62
Student181,0,88,0,0,65,92,87,84
Student182,0,90,91,91,100,90,0,92
Student183,92,94,0,0,95,86,0,93
Student184,97,95,97,96,100,90,0,96
Student185,77,88,100,91,100,95,0,90
Student186,0,88,90,93,90,92,0,92
Student187,98,97,90,86,95,90,92,94
Student188,80,68,68,72,90,0,0,81
Student189,88,0,65,0,90,77,0,81
Student190,95,95,98,93,88,86,0,94
Student191,89,78,77,0,95,0,0,83
Student192,90,94,95,0,90,0,0,92
Student193,66,65,75,0,80,0,0,70
Student194,89,81,71,85,78,0,71,80
Student195,0,70,75,92,73,0,0,78
Student196,92,93,86,0,78,91,0,88
Student197,0,83,90,96,95,0,0,91
Student198,0,82,0,87,80,0,0,85
Student199,0,55,0,87,85,0,0,77
Student200,86,98,98,0,95,99,0,97
Student201,100,90,0,0,90,76,0,89
Student202,0,0,83,0,80,0,0,82
Student203,95,97,0,0,100,100,0,98
Student204,65,0,55,0,70,0,0,65
Student205,65,65,45,0,80,0,0,68
Student206,0,88,90,97,100,0,0,93
Student207,0,88,0,90,95,0,0,91
Student208,66,68,0,65,95,0,0,76
Student209,0,0,86,88,90,0,0,92
Student210,97,100,98,0,100,91,0,98
Student211,67,0,76,55,70,71,0,71
Student212,0,87,78,0,90,97,0,88
Student213,87,82,80,0,95,0,0,87
Student214,55,80,65,66,90,0,0,75
Student215,96,97,90,0,85,96,91,91
Student216,93,85,91,0,95,98,94,92
Student217,70,0,76,77,80,0,0,76
Student218,70,87,88,0,100,95,0,89
Student219,92,88,100,0,90,88,0,90
Student220,87,83,83,80,70,0,0,79
Student221,0,75,79,80,80,0,0,78
Student222,45,45,45,45,45,0,0,45
Student223,55,45,65,65,70,0,0,62
Student224,78,84,0,80,85,0,0,82
Student225,0,0,99,97,88,0,0,95
Student226,71,0,80,0,90,0,79,80
Student227,0,0,55,0,45,0,0,47
Student228,99,0,0,82,90,95,0,91
Student229,0,75,0,0,90,85,0,86
Student230,0,86,95,87,95,0,0,90
Student231,0,100,95,0,95,95,0,96
Student232,97,97,80,85,90,95,0,89
Student233,0,0,85,0,75,0,0,90
Student234,0,87,0,97,100,0,0,94
Student235,0,94,96,94,95,0,0,94
Student236,0,70,85,92,90,0,0,81
Student237,70,65,96,0,84,78,0,79
Student238,0,0,85,91,90,0,0,89
Student239,0,87,80,85,90,0,0,84
Student240,0,0,0,0,95,0,88,94
Student241,0,100,93,0,98,100,0,97
Student242,45,55,45,0,75,0,0,55
Student243,0,0,86,0,90,0,0,93
Student244,98,98,95,0,95,0,0,96
Student245,80,93,66,0,95,0,0,83
Student246,45,45,45,45,45,45,0,50
Student247,0,45,65,65,45,0,0,58
Student248,86,80,95,96,98,97,0,92
Student249,0,95,100,0,90,0,0,97
Student250,79,66,65,78,100,0,72,77
Student251,80,0,45,0,95,0,0,79
Student252,0,70,0,0,95,0,87,87
Student253,66,55,0,65,80,55,0,67
Student254,83,69,77,45,77,0,0,71
Student255,0,88,97,0,80,0,87,89
Student256,90,0,77,0,80,0,0,82
Student257,0,0,100,0,97,90,0,97
Student258,0,0,86,0,75,0,0,80
Student259,78,82,0,0,90,0,0,82
Student260,0,95,95,0,90,92,0,94
Student261,0,76,0,0,80,0,88,82
Student262,65,0,45,0,45,0,0,61
Student263,0,68,0,93,85,0,0,85
Student264,65,92,55,0,65,0,0,68
Student265,0,0,0,0,80,85,0,82
Student266,0,85,92,0,100,100,0,92
Student267,0,85,93,83,95,95,0,89
Student268,0,86,0,0,70,0,98,86
Student269,93,95,100,0,100,87,94,95
Student270,0,0,55,65,45,0,0,55
Student271,0,55,90,0,70,0,65,72
Student272,89,0,0,0,90,0,0,86
Student273,79,0,75,65,65,0,0,67
Student274,0,88,95,65,90,93,0,88
Student275,0,0,85,0,85,77,0,87
Student276,0,67,66,85,70,0,0,71
Student277,0,0,0,0,70,0,72,71
Student278,0,0,80,0,80,77,0,79
Student279,0,89,0,94,100,0,0,93
Student280,98,83,0,92,83,0,0,89
Student281,85,78,70,0,65,0,0,77
Student282,55,45,55,65,65,45,0,60
Student283,83,80,83,0,90,0,0,86
Student284,73,97,100,88,100,97,0,91
Student285,86,96,82,0,100,96,87,93
Student286,0,83,90,0,90,95,0,89
Student287,45,90,65,89,45,0,0,63
Student288,0,88,96,93,100,0,0,95
Student289,80,0,0,0,90,0,0,85
Student290,0,99,100,0,95,100,0,99
Student291,86,85,98,87,100,88,0,92
Student292,0,0,90,0,80,0,0,88
Student293,0,100,100,0,100,0,0,99
Student294,0,97,90,0,95,0,0,93
Student295,0,68,70,0,98,0,0,82
Student296,0,0,80,0,90,0,0,91
Student297,0,0,0,80,100,0,92,91
Student298,0,88,86,0,88,0,0,90
Student299,0,0,0,97,95,0,0,92
Student300,84,98,100,0,98,91,87,89
Student301,88,97,94,0,90,0,0,92
Student302,90,98,89,93,99,0,0,94
Student303,80,70,70,65,90,79,0,75
Student304,90,95,100,0,90,75,0,88
Student305,86,78,85,73,95,0,0,85
Student306,80,91,92,0,93,93,95,91
Student307,93,95,98,96,100,100,0,96
Student308,98,90,83,0,90,95,0,92
Student309,83,80,80,0,90,0,0,85
Student310,99,99,97,83,100,100,0,96
Student311,65,65,65,55,45,0,0,61
Student312,0,95,95,83,85,65,0,86
Student313,86,84,0,0,95,55,0,80
Student314,98,73,82,80,90,0,88,82
Student315,45,72,68,55,65,45,0,58
Student316,98,95,99,0,95,76,0,94
Student317,0,0,90,94,80,0,0,90
Student318,65,65,91,45,90,65,0,67
Student319,83,0,85,0,85,0,0,84
Student320,96,94,96,0,95,67,0,90
Student321,0,0,93,80,95,0,0,91
Student322,95,88,0,0,100,97,0,96
Student323,0,0,83,82,95,65,0,81
Student324,65,0,71,0,95,0,0,77
Student325,0,0,84,90,80,0,0,86
Student326,0,91,95,0,90,0,0,93
Student327,0,79,0,94,100,100,0,92
Student328,0,92,100,0,97,0,0,97
Student329,0,75,94,0,90,0,98,92
Student330,0,0,0,0,95,0,65,75
Student331,0,85,0,67,90,90,0,83
Student332,0,96,0,0,90,99,0,95
Student333,85,72,93,77,85,75,0,81
Student334,45,0,0,0,0,45,0,45
Student335,55,55,55,0,45,45,45,49
Student336,0,0,0,0,100,0,95,95
Student337,0,81,0,0,85,0,93,92
Student338,96,88,0,0,95,95,0,94
Student339,96,100,100,0,100,100,0,99
Student340,88,68,100,0,80,0,0,84
Student341,75,70,71,0,65,0,0,67
Student342,0,77,0,91,65,0,0,78
Student343,0,95,0,93,100,0,98,97
Student344,45,86,65,0,85,0,0,73
Student345,0,0,0,65,73,0,65,68
Student346,0,0,66,65,75,0,0,69
Student347,0,95,100,96,100,0,0,98
Student348,88,69,86,0,90,0,0,85
Student349,0,88,78,0,85,85,0,83
Student350,94,87,89,89,80,71,0,85
Student351,0,85,89,0,70,0,0,85
Student352,93,84,100,0,99,76,0,92
Student353,0,65,0,65,65,0,0,66
Student354,71,0,65,0,95,0,0,77
Student355,91,88,0,93,100,89,0,92
Student356,0,66,0,0,88,0,85,85
Student357,0,99,91,0,95,0,0,95
Student358,0,73,82,0,98,94,0,86
Student359,0,0,96,88,100,99,95,96
Student360,0,96,92,99,100,100,0,96
Student361,98,85,91,0,95,0,0,91
Student362,0,88,89,0,100,0,98,93
Student363,80,0,100,0,95,92,0,92
Student364,45,45,70,0,90,0,0,60
Student365,89,0,70,0,45,0,73,76
Student366,0,92,94,92,95,0,0,94
Student367,90,95,0,88,90,0,0,91
Student368,0,0,85,0,95,0,0,88
Student369,0,83,0,0,90,98,0,90
Student370,0,0,77,85,68,0,0,79
Student371,55,74,75,0,80,0,0,76
Student372,65,70,100,0,90,0,0,81
Student373,0,85,89,87,83,0,0,87
Student374,100,0,99,98,95,100,0,99
Student375,0,0,83,93,95,0,100,94
Student376,0,0,95,98,85,98,0,93
Student377,75,90,99,87,100,76,0,90
Student378,86,84,82,83,99,88,0,89
Student379,97,90,91,93,100,0,0,93
Student380,0,97,95,0,75,100,0,92
Student381,0,0,86,0,95,85,0,88
Student382,97,96,92,0,95,98,0,96
Student383,0,0,85,0,68,0,0,84
Student384,0,0,90,90,100,0,0,93
Student385,0,83,89,90,100,0,0,90
Student386,65,72,80,0,45,0,0,71
Student387,65,0,65,0,100,0,0,74
Student388,83,81,89,88,90,0,0,87
Student389,67,65,100,80,80,0,0,78
Student390,45,45,75,0,65,0,0,60
Student391,0,0,0,90,100,0,0,95
Student392,68,65,0,92,80,0,0,78
Student393,99,96,98,0,90,0,87,94
Student394,0,0,80,0,70,0,0,84
Student395,65,45,45,0,45,0,0,50
Student396,92,78,89,70,95,93,0,86
Student397,73,76,0,88,85,0,0,80
Student398,0,93,0,94,97,0,0,95
Student399,0,0,75,0,95,77,0,82
Student400,91,99,92,97,100,92,85,94
Student401,0,0,92,0,100,96,99,98
Student402,100,90,93,87,83,0,0,93
Student403,55,65,82,55,100,82,0,74
Student404,95,99,85,92,95,96,0,93
Student405,45,77,86,95,90,0,0,79
Student406,95,94,74,79,80,90,82,85
Student407,84,71,70,83,93,0,96,83
Student408,74,79,71,76,90,0,0,73
Student409,100,0,0,0,100,94,0,98
Student410,0,0,90,80,80,0,0,82
Student411,0,88,86,0,80,0,0,88
Student412,0,0,100,0,86,0,0,85
Student413,65,0,65,88,80,0,0,75
Student414,92,97,90,0,100,79,87,91
Student415,0,0,85,0,81,0,0,89
Student416,45,0,75,0,65,0,0,64
Student417,0,94,90,0,100,90,0,92
Student418,0,97,88,0,100,93,0,93
Student419,0,85,93,0,100,100,0,94
Student420,0,0,0,0,88,0,98,95
Student421,88,86,91,96,100,100,97,94
Student422,91,100,88,96,100,90,0,94
Student423,65,70,70,67,80,0,0,77
Student424,45,79,86,45,95,75,0,70
Student425,0,0,0,0,65,0,72,74
Student426,93,94,0,94,100,0,0,96
Student427,0,0,0,97,100,0,100,100
Student428,65,0,0,0,90,0,0,83
Student429,0,0,71,67,95,0,0,78
Student430,93,89,84,0,80,90,0,88
Student431,85,0,0,84,55,96,0,80
Student432,0,45,45,0,95,0,0,62
Student433,55,55,55,45,65,71,0,58
Student434,0,0,65,69,100,0,0,78
Student435,0,96,0,0,98,0,95,96
Student436,65,0,65,0,65,0,0,65
Student437,97,75,0,0,90,0,0,87
Student438,80,97,95,89,85,79,0,86
Student439,0,80,0,0,95,94,0,90
Student440,70,0,65,0,90,75,0,74
Student441,0,80,77,86,75,0,0,79
Student442,90,72,65,81,98,92,95,87
Student443,0,0,85,82,65,0,0,80
Student444,77,78,87,0,80,0,0,82
Student445,0,96,98,0,85,0,0,95
Student446,45,45,45,45,65,0,0,51
Student447,90,0,0,80,100,0,0,90
Student448,88,82,81,86,90,91,0,86
Student449,92,67,67,94,65,97,0,80
Student450,86,0,85,0,86,0,0,86
Student451,0,95,0,0,100,0,97,97
Student452,73,0,96,55,80,0,0,80
Student453,45,88,85,0,90,0,0,76
Student454,0,45,65,0,65,0,0,58
Student455,0,87,96,0,100,0,0,95
Student456,0,0,90,0,95,0,0,92
Student457,94,97,100,88,100,0,0,95
Student458,92,80,75,0,80,0,0,82
Student459,65,0,65,0,70,0,55,64
Student460,87,81,70,92,99,0,0,89
Student461,77,0,80,0,75,0,82,78
Student462,0,0,93,0,100,100,0,95
Student463,84,67,80,90,93,0,0,86
Student464,65,65,0,0,45,0,0,58
Student465,97,81,82,0,90,0,0,91
Student466,72,83,97,95,90,90,0,87
Student467,0,0,87,0,45,0,0,74
Student468,82,76,91,91,95,91,0,89
Student469,45,65,100,45,75,0,0,66
Student470,70,87,80,90,90,0,0,81
Student471,0,99,100,0,80,98,0,95
Student472,75,86,0,91,100,0,0,92
Student473,0,84,0,93,95,89,0,90
Student474,98,86,96,90,98,100,90,94
Student475,74,90,69,88,90,77,0,81
Student476,0,98,0,0,100,0,0,99
Student477,0,98,94,92,99,0,0,96
Student478,86,0,95,83,90,0,0,92
Student479,77,95,73,0,99,99,0,90
Student480,0,65,75,82,98,78,0,80
Student481,75,0,71,0,90,0,0,83
Student482,0,85,100,0,100,100,0,92
Student483,0,0,65,0,90,0,74,76
Student484,45,0,45,0,45,45,0,50
Student485,69,83,100,90,88,78,0,81
Student486,93,83,97,84,100,91,0,93
Student487,70,92,90,93,95,91,0,88
Student488,88,0,95,92,100,78,0,92
Student489,72,87,86,82,100,96,100,88
Student490,0,88,86,0,95,0,0,92
Student491,65,74,0,0,85,0,66,76
Student492,90,67,100,75,85,0,0,85
Student493,93,94,84,93,100,94,0,93
Student494,0,0,0,82,95,95,90,92
Student495,92,79,95,0,90,83,0,91
Student496,0,95,0,92,100,0,0,96
Student497,0,45,0,0,89,88,0,74
Student498,0,0,90,0,90,0,0,81
Student499,65,0,65,65,45,55,0,60
Student500,92,0,0,0,80,70,0,81
Student501,98,89,93,93,95,88,91,92
Student502,85,0,100,87,90,0,0,82
Student503,86,80,80,93,100,81,96,89
Student504,45,45,45,45,45,45,0,45
Student505,81,73,81,67,77,65,0,75
Student506,75,84,67,87,85,0,0,78
Student507,55,0,0,68,90,0,0,77
Student508,65,76,65,65,75,73,0,70
Student509,95,88,92,90,100,92,0,94
Student510,0,80,80,0,65,0,0,78
Student511,0,89,92,95,98,0,0,94
Student512,0,0,85,0,65,0,0,72
Student513,100,100,95,98,100,100,99,99
Student514,0,88,97,0,65,0,0,82
Student515,91,97,91,0,94,99,0,95
Student516,0,0,80,0,65,0,0,78
Student517,95,82,0,94,90,0,0,90
Student518,0,76,90,0,90,88,0,80
Student519,0,80,0,0,100,0,0,90
Student520,80,75,80,90,100,93,0,88
Student521,0,0,0,0,100,77,0,88
Student522,65,55,45,0,45,0,0,51
Student523,94,98,100,97,100,98,0,98
Student524,94,100,92,0,98,98,0,96
Student525,95,86,95,80,100,94,95,93
Student526,0,0,71,82,80,0,0,80
Student527,0,91,96,0,100,0,100,98
Student528,85,0,82,0,95,73,0,87
Student529,74,87,69,65,80,0,0,76
Student530,65,86,82,68,90,0,0,79
Student531,77,88,73,85,90,93,0,83
Student532,88,94,96,86,95,76,0,90
Student533,84,90,80,88,98,98,0,90
Student534,70,72,75,73,100,0,0,77
Student535,94,96,98,95,95,88,0,94
Student536,78,85,68,81,85,0,0,81
Student537,97,93,91,0,95,86,0,94
Student538,90,94,75,88,95,0,0,88
Student539,70,78,91,85,100,98,0,89
Student540,99,83,0,0,95,100,95,95
Student541,65,0,90,0,98,0,0,84
Student542,97,95,90,0,100,92,0,95
Student543,92,91,85,0,90,80,0,88
Student544,77,84,0,70,90,0,0,82
Student545,94,94,87,0,90,0,0,91
Student546,0,84,0,0,80,94,96,93
Student547,70,65,66,0,90,0,0,75
Student548,87,0,87,75,45,0,0,66
Student549,55,79,90,86,100,0,0,81
Student550,99,0,100,87,100,0,0,96
Student551,75,78,80,78,98,55,96,79
Student552,0,0,75,78,95,0,0,79
Student553,0,89,100,0,100,83,93,95
Student554,76,73,73,70,89,77,0,78
Student555,0,0,97,100,100,100,0,99
Student556,87,80,91,0,65,81,0,81
Student557,90,0,80,0,80,0,0,83
Student558,81,80,84,93,95,0,0,89
Student559,85,83,100,95,98,100,0,94
Student560,90,88,93,90,100,0,0,92
Student561,97,98,96,94,100,100,0,97
Student562,92,65,100,93,75,0,0,82
Student563,79,77,97,0,95,89,0,87
Student564,0,87,96,95,99,93,90,94
Student565,86,91,96,0,100,85,81,90
Student566,0,100,85,0,98,100,98,95
Student567,75,68,70,75,90,0,0,77
Student568,90,98,96,99,95,98,0,96
Student569,65,0,65,65,70,0,0,69
Student570,0,88,0,0,100,97,0,95
Student571,0,91,90,93,98,0,0,94
Student572,0,85,100,0,100,0,0,96
Student573,65,72,80,91,70,0,0,78
Student574,0,86,82,0,100,0,0,92
Student575,95,0,95,71,100,72,0,87
Student576,80,95,90,0,90,98,0,93
Student577,79,65,65,67,87,82,0,76
Student578,65,55,93,82,80,0,0,73
Student579,95,95,91,92,100,0,0,94
Student580,88,93,96,0,95,0,0,90
Student581,0,82,0,98,95,98,0,93
Student582,72,66,75,0,85,67,0,73
Student583,83,85,93,70,100,100,98,91
Student584,100,0,100,0,100,100,0,100
Student585,92,98,97,0,80,100,0,94
Student586,65,80,65,0,70,0,0,68
Student587,91,0,0,98,95,85,96,94
Student588,0,100,94,0,95,99,0,96
Student589,65,65,65,85,95,85,0,75
Student590,91,98,95,0,85,93,0,93
Student591,90,0,70,79,100,0,0,83
Student592,45,0,65,45,45,0,0,50
Student593,100,100,100,0,100,0,0,100
Student594,97,98,95,0,100,100,0,97
Student595,94,84,96,0,90,0,0,86
Student596,55,85,77,55,90,0,65,73
Student597,100,90,92,0,92,0,95,94
Student598,94,90,0,93,100,90,0,90
Student599,0,0,69,0,95,75,0,80
Student600,98,0,92,0,100,0,0,96
Student601,0,93,87,0,88,95,0,90
Student602,78,97,91,0,95,95,0,91
Student603,55,65,65,0,55,0,0,62
Student604,0,74,92,0,100,91,0,89
Student605,67,65,75,0,70,0,0,74
Student606,75,89,91,80,80,89,0,84
Student607,99,95,90,0,95,80,0,92
Student608,97,95,72,90,95,95,0,91
Student609,88,95,76,90,100,89,0,88
Student610,0,0,75,0,45,0,0,60
Student611,92,89,95,85,90,87,0,91
Student612,0,85,0,83,80,0,0,80
Student613,100,96,90,92,100,97,0,96
Student614,81,88,89,87,90,91,0,88
Student615,0,83,85,83,90,0,0,86
Student616,100,96,84,0,100,99,0,95
Student617,96,0,100,0,90,89,0,88
Student618,65,80,82,45,80,94,93,77
Student619,92,95,98,0,98,0,0,94
Student620,85,91,85,0,80,0,0,84
Student621,87,100,100,0,95,100,94,96
Student622,0,85,0,0,90,0,90,90
Student623,0,80,0,89,85,95,76,85
Student624,0,0,98,0,100,0,0,99
Student625,79,85,74,0,85,0,0,78
Student626,65,77,100,65,86,0,0,77
Student627,92,0,77,0,80,0,0,83
Student628,0,0,0,68,97,0,0,86
Student629,87,0,73,0,85,0,0,82
Student630,97,100,95,96,100,100,0,98
Student631,45,45,45,45,55,45,45,46
Student632,94,74,76,0,90,78,0,80
Student633,65,0,85,0,65,0,0,72
Student634,100,96,96,95,100,100,0,98
Student635,99,91,93,94,100,100,0,95
Student636,100,98,90,94,100,100,0,97
Student637,66,77,75,68,100,0,0,79
Student638,100,94,99,97,100,93,0,98
Student639,90,100,98,0,98,100,0,98
Student640,94,87,100,0,100,96,0,95
Student641,90,96,100,94,95,94,0,95
Student642,70,70,65,0,65,45,0,63
Student643,85,0,95,0,95,81,0,83
Student644,99,91,100,77,100,91,0,93
Student645,95,92,91,87,100,95,0,93
Student646,0,90,92,94,90,90,0,92
Student647,93,96,100,0,100,100,0,98
Student648,0,95,90,0,100,0,0,91
Student649,92,88,80,95,95,90,0,90
Student650,99,87,100,0,98,73,0,93
Student651,0,65,91,65,95,0,0,71
Student652,99,96,88,0,100,97,0,96
Student653,81,80,71,0,45,0,0,73
Student654,0,98,95,0,100,90,0,97
Student655,89,85,95,88,90,0,0,89
Student656,68,0,75,0,45,0,0,57
Student657,0,96,0,97,100,0,100,98
Student658,0,0,0,95,95,0,100,98
Student659,100,100,100,0,100,100,0,100
Student660,95,0,95,79,75,0,0,84
Student661,65,45,85,72,73,0,0,71
Student662,0,91,86,86,95,91,0,90
Student663,68,75,80,0,65,0,0,76
Student664,45,77,70,70,65,0,0,73
Student665,0,0,73,0,90,0,0,86
Student666,0,93,100,80,95,93,0,92
Student667,75,66,74,0,73,0,86,76
Student668,75,85,70,0,95,0,0,78
Student669,86,95,92,0,95,0,87,91
Student670,89,0,90,0,95,97,0,93
Student671,75,74,73,82,73,93,0,79
Student672,0,94,85,0,95,0,0,91
Student673,70,79,89,0,91,93,0,88
Student674,0,93,88,0,95,96,0,93
Student675,100,100,97,0,100,100,0,97
Student676,55,0,70,0,80,45,0,63
Student677,90,66,99,0,85,0,0,84
Student678,100,98,92,0,90,0,0,95
Student679,100,91,92,0,100,86,0,95
Student680,86,100,98,96,90,0,0,94
Student681,100,100,98,0,100,100,0,100
Student682,83,71,69,91,100,94,90,87
Student683,90,81,100,0,78,0,0,86
Student684,0,79,97,86,100,74,0,87
Student685,96,84,88,0,100,88,0,92
Student686,71,72,100,88,95,88,0,84
Student687,90,0,0,88,90,0,0,89
Student688,0,0,90,0,90,96,0,94
Student689,80,80,88,90,97,98,0,90
Student690,80,0,65,0,65,0,0,75
Student691,72,94,73,81,90,90,0,84
Student692,100,88,98,0,100,100,92,96
Student693,0,90,80,0,70,0,0,82
Student694,88,96,96,0,98,100,0,96
Student695,0,77,0,95,100,0,100,94
Student696,0,99,90,0,85,0,0,91
Student697,70,85,0,88,100,0,0,89
