month,day,temp,hum,wind,area
sep,sun,23.8,35,3.6,5.18
aug,tue,14.4,66,5.4,5.23
sep,sun,23.9,32,6.7,5.33
dec,thu,5.1,61,4.9,5.38
feb,tue,4.6,82,6.3,5.39
oct,mon,19.1,32,4,5.44
mar,wed,11.2,41,5.4,5.55
sep,tue,21.1,35,2.7,5.65
aug,thu,26.7,35,1.8,5.8
sep,mon,16.8,43,3.1,5.83
aug,wed,28.2,29,1.8,5.86
sep,fri,18.7,50,2.2,5.97
sep,wed,21.8,34,2.2,6.04
sep,mon,12.2,66,4.9,6.1
jul,sun,29.3,27,3.6,6.3
aug,sat,23.3,40,4,6.36
feb,sun,12.4,53,2.2,6.38
aug,sat,23.6,53,4,6.43
aug,wed,23.4,49,5.4,6.43
aug,sun,27.8,32,2.7,6.44
aug,fri,21.8,53,3.1,6.54
jul,tue,17.1,67,3.6,6.57
sep,sat,24.2,27,3.1,6.58
mar,thu,13.3,27,3.6,6.61
oct,mon,16.8,45,4.5,6.83
feb,sat,4.6,59,0.9,6.84
aug,fri,20.8,34,4.9,6.96
jul,tue,26.3,39,3.1,7.02
sep,tue,17.6,46,3.1,7.04
mar,sun,11.5,39,5.8,7.19
sep,thu,16.8,28,4,7.21
sep,mon,21,42,2.2,7.3
sep,fri,15.4,53,6.3,7.31
jul,sun,26.1,45,4,7.36
mar,sat,13.3,42,0.9,7.4
sep,mon,22.7,35,2.2,7.48
jul,wed,19.3,39,7.2,7.73
sep,fri,19.9,44,3.1,7.8
jul,sat,25.3,39,0.9,8
aug,sat,23.9,41,2.2,8.02
sep,fri,21.1,39,2.2,8.12
jun,wed,28,34,4.5,8.16
mar,sun,11.5,60,4,8.24
mar,fri,11.7,33,4,8.31
aug,sat,30.8,30,4.9,8.59
aug,thu,24.2,28,2.7,8.68
aug,tue,24.6,22,4.5,8.71
aug,mon,28.3,32,4,8.85
dec,sun,4.8,57,8.5,8.98
aug,tue,20.1,58,4.5,9.27
dec,fri,2.2,59,4.9,9.27
sep,wed,24.3,25,4,9.41
aug,fri,11.8,88,4.9,9.71
dec,mon,4.6,21,8.5,9.77
feb,mon,7.5,71,6.3,9.96
sep,fri,16.2,58,3.6,9.96
aug,tue,24.6,22,4.5,10.01
aug,fri,23.5,36,5.4,10.02
jun,thu,26.4,35,2.7,10.08
aug,sun,15.4,66,4,10.13
aug,thu,18.9,41,3.1,10.34
dec,mon,4.6,21,8.5,10.73
aug,tue,27.3,63,4.9,10.82
apr,thu,5.8,54,5.8,10.93
sep,thu,21.5,15,0.9,11.06
sep,sun,13.8,77,7.6,11.06
aug,sun,21.2,70,6.7,11.16
dec,wed,5.1,61,8,11.19
sep,sat,17.1,41,2.2,11.22
sep,tue,13.9,59,6.3,11.24
sep,mon,22.6,38,3.6,11.32
sep,tue,21.6,33,2.2,11.53
mar,sun,12.4,54,3.6,12.1
aug,sat,21.3,44,4.5,12.18
sep,sat,16.8,47,4.9,12.64
feb,sun,8.8,68,2.2,13.05
sep,fri,20.8,35,4.9,13.06
oct,wed,20.2,37,2.7,13.7
mar,sat,15.1,64,4,13.99
sep,sun,24.8,28,1.8,14.29
sep,thu,22.1,34,1.8,14.57
aug,tue,32.3,27,2.2,14.68
aug,sun,20.9,66,4.9,15.34
aug,sat,22.9,31,7.2,15.45
sep,sat,21.5,28,4.5,15.64
aug,sun,20.9,50,2.2,16
aug,thu,16.2,63,2.7,16.33
aug,tue,26.4,34,3.6,16.4
sep,tue,20.7,37,2.2,17.2
dec,mon,4.6,21,8.5,17.85
sep,fri,10.3,78,4,18.3
sep,fri,19.6,33,6.3,19.23
sep,tue,19.6,45,3.1,20.03
dec,mon,4.6,21,8.5,22.03
sep,thu,23.2,26,4.9,23.41
oct,sat,18.4,25,3.1,24.23
feb,fri,7.5,46,8,24.24
sep,sun,20.6,55,5.4,24.59
dec,tue,5.1,24,8.5,24.77
aug,sat,5.1,96,5.8,26
sep,fri,20.1,47,4.9,26.13
aug,sun,33.1,25,4,26.43
mar,mon,11,46,5.8,27.35
sep,mon,21.3,35,2.2,28.19
mar,sat,17,27,4.9,28.66
mar,sat,17,27,4.9,28.66
aug,fri,23.3,34,3.1,28.74
sep,sun,16.9,60,1.3,29.48
sep,fri,20.7,46,2.7,30.18
sep,mon,12.4,73,6.3,30.32
sep,wed,19.4,19,1.3,31.72
mar,mon,15.2,27,3.1,31.86
aug,sun,16.2,59,3.1,32.07
sep,thu,18.9,34,7.2,34.36
sep,fri,18.6,49,3.6,35.88
