price,brand,model,year,title_status,mileage,color,vin,state
7000,ford,pk,2003,clean vehicle,176567,white,  1ftnx20p73ed69682,tennessee
12710,gmc,door,2017,clean vehicle,30049,white,  1gks2gkc6hr325461,california
16600,mercedes-benz,vans,2016,clean vehicle,97983,white,  wd4pe7dd1gp253504,new york
30500,chevrolet,1500,2018,clean vehicle,30442,red,  3gcukrec4jg204915,tennessee
6330,ford,mpv,2017,clean vehicle,38123,red,  2fmpk3j85hbb79415,texas
55000,ford,srw,2017,clean vehicle,15273,black,  1ft7w3bt5hee88155,pennsylvania
12520,gmc,door,2017,clean vehicle,28972,black,  1gks2gkcxhr324555,california
16200,jeep,compass,2019,clean vehicle,30061,red,  3c4njccb3kt676336,north carolina
19000,chevrolet,malibu,2017,clean vehicle,18414,white,  1g1zh5sx9hf118136,tennessee
5580,dodge,mpv,2017,clean vehicle,46829,gray,  3c4pddeg7ht595704,texas
54000,ford,srw,2017,clean vehicle,26241,black,  1ft7w3bt0hef02785,pennsylvania
12710,gmc,mpv,2017,clean vehicle,39886,red,  1gks2bkc7hr133811,california
16000,jeep,compass,2019,clean vehicle,31594,silver,  3c4njccb0kt676343,north carolina
27000,buick,enclave,2017,clean vehicle,32107,no_color,  5gakrckdxhj113512,tennessee
7760,ford,mpv,2017,clean vehicle,44794,gray,  2fmpk4j87hbb21750,texas
19600,chrysler,300,2019,clean vehicle,42648,gray,  2c3ccabgxkh559658,south carolina
12920,gmc,mpv,2017,clean vehicle,39165,silver,  1gks2bkc6hr134450,california
20000,jeep,cherokee,2019,clean vehicle,38355,charcoal,  1c4pjmbx6kd298806,north carolina
18100,buick,door,2017,clean vehicle,46766,silver,  1g4zp5ss8hu149142,florida
23000,chrysler,pacifica,2020,clean vehicle,2473,white,  2c4rc1fg5lr143335,ohio
18500,chrysler,300,2019,clean vehicle,38586,gray,  2c3ccaeg5kh585628,south carolina
13490,gmc,door,2017,clean vehicle,27842,white,  1gks2gkc0hr323625,california
20700,jeep,cherokee,2019,clean vehicle,31156,white,  1c4pjmbx2kd360704,north carolina
17800,chevrolet,door,2017,clean vehicle,52435,black,  1g1fb1rsxh0185712,florida
6650,ford,door,2017,clean vehicle,29942,black,  1fmcu0gd8huc93883,texas
29100,chrysler,pacifica,2019,clean vehicle,25281,red,  2c4rc1gg3kr730663,south carolina
12710,gmc,door,2017,clean vehicle,32504,silver,  1gks2gkc6hr327937,california
21100,jeep,cherokee,2019,clean vehicle,28649,silver,  1c4pjmbx6kd298174,north carolina
18600,chevrolet,door,2017,clean vehicle,35200,white,  1g1fb1rsxh0104806,florida
4340,ford,door,2017,clean vehicle,25602,silver,  1fmcu0gd7huc86259,texas
19300,chrysler,300,2019,clean vehicle,34801,gray,  2c3ccakg4kh594972,south carolina
12780,gmc,door,2017,clean vehicle,31009,black,  1gks2gkc7hr321306,california
15800,jeep,compass,2019,clean vehicle,35595,charcoal,  3c4njccb4kt662767,north carolina
29400,bmw,x3,2017,clean vehicle,23765,black,  5uxwx7c3xh0u44145,tennessee
4430,ford,door,2017,clean vehicle,31792,black,  1fmcu0gd9huc37922,texas
19400,chrysler,300,2019,clean vehicle,33135,gray,  2c3ccakg6kh578112,south carolina
12520,gmc,door,2017,clean vehicle,30636,red,  1gks2gkcxhr323969,california
15900,jeep,compass,2019,clean vehicle,34502,red,  3c4njccb7kt660088,north carolina
26400,buick,door,2017,clean vehicle,25434,white,  5gakvckd2hj308564,florida
4140,ford,door,2017,clean vehicle,36732,black,  1fmcu0gd5hud08310,texas
18300,chrysler,300,2019,clean vehicle,41792,gray,  2c3ccaeg0kh555632,south carolina
12520,gmc,door,2017,clean vehicle,31992,black,  1gks2gkcxhr328718,california
17900,jeep,compass,2019,clean vehicle,32501,red,  3c4njddb7kt682015,north carolina
18300,chevrolet,camaro,2017,clean vehicle,28395,black,  1g1fb3dx5h0143964,florida
4640,ford,door,2017,clean vehicle,36139,blue,  1fmcu0g95huc13712,texas
24000,ford,door,2016,clean vehicle,84413,black,  1ftfw1ef1gfb13670,pennsylvania
13200,gmc,door,2017,clean vehicle,33457,white,  1gks2gkc5hr326410,california
18000,jeep,compass,2019,clean vehicle,29245,gray,  3c4njddb0kt686052,north carolina
14900,chevrolet,equinox,2017,clean vehicle,12783,silver,  2gnalcek7h1548351,florida
4140,ford,door,2017,clean vehicle,17617,white,  1fmcu0gd5huc78080,texas
11500,ford,door,2016,clean vehicle,36855,black,  1fmcu9gx9gua57286,pennsylvania
9110,ford,door,2017,clean vehicle,110316,white,  1ftfw1ef5hkc50264,texas
7350,chrysler,door,2015,clean vehicle,88227,black,  1c3cccab7fn613884,pennsylvania
24500,bmw,door,2017,clean vehicle,17626,gray,  wba4f9c51hg439932,michigan
9300,ford,door,2017,clean vehicle,120353,white,  1ftfw1ef4hkc50286,texas
39800,dodge,challenger,2015,clean vehicle,3641,white,  2c3cdzc95fh757310,pennsylvania
53500,bmw,m,2017,clean vehicle,29355,blue,  5ymkt6c37h0x20696,michigan
15110,ford,door,2017,clean vehicle,39333,black,  1ft7w2bt7hec41164,texas
34000,ford,door,2015,clean vehicle,42930,white,  1ft8w3b61fec52078,pennsylvania
26502,chevrolet,colorado,2017,clean vehicle,24993,black,  1gcgtcen4h1158648,michigan
5990,ford,mpv,2017,clean vehicle,44929,black,  1fm5k7b86hga87008,texas
13600,ford,focus,2018,clean vehicle,16971,black,  1fadp3m26jl307477,south carolina
23605,cadillac,door,2017,clean vehicle,35598,gray,  1gyknbrsxhz114969,michigan
10780,ford,mpv,2017,clean vehicle,40455,white,  1fm5k8ht0hga07252,texas
13800,ford,focus,2018,clean vehicle,23164,white,  1fadp3j2xjl279400,south carolina
25201,cadillac,door,2017,clean vehicle,19011,no_color,  1gyknbrs8hz257399,michigan
7070,ford,mpv,2017,clean vehicle,45191,white,  1fm5k7d82hgb39148,texas
8700,ford,focus,2018,clean vehicle,21405,white,  1fadp3k23jl219764,south carolina
18003,chevrolet,malibu,2017,clean vehicle,19117,no_color,  1g1zh5sx7hf141060,michigan
8530,ford,door,2017,clean vehicle,42104,black,  1fm5k7f80hga03159,texas
23100,dodge,durango,2018,clean vehicle,49496,white,  1c4rdjdg2jc329601,south carolina
24500,cadillac,door,2017,clean vehicle,32418,white,  1gykndrs1hz125239,michigan
7000,ford,mpv,2017,clean vehicle,29882,white,  1fm5k7d84hgc31359,texas
17000,ford,escape,2018,clean vehicle,34819,gold,  1fmcu9hd6juc54783,south carolina
34002,chevrolet,1500,2017,clean vehicle,31923,white,  3gcuktej3hg475034,michigan
6980,ford,mpv,2017,clean vehicle,29168,gray,  1fm5k7d8xhga68751,texas
25000,dodge,charger,2018,clean vehicle,28307,silver,  2c3cdxjg6jh224431,michigan
20802,chevrolet,colorado,2017,clean vehicle,33791,turquoise,  1gcgtben3h1180134,michigan
9200,ford,door,2017,clean vehicle,21770,black,  1ftew1ep8hfa10123,texas
26500,chrysler,pacifica,2017,clean vehicle,18375,gray,  2c4rc1eg2hr669530,michigan
24802,chevrolet,colorado,2017,clean vehicle,14158,gray,  1gcgtcen9h1202076,michigan
7070,ford,mpv,2017,clean vehicle,30318,black,  1fm5k7d82hgb21314,texas
28500,ford,door,2017,clean vehicle,48086,red,  1ftew1ep2hkd15978,south carolina
47500,cadillac,door,2017,clean vehicle,26562,black,  1gys4ckj7hr359884,michigan
23500,ford,explorer,2017,clean vehicle,57611,black,  1fm5k8f80hgc67231,south carolina
23505,chevrolet,colorado,2017,clean vehicle,47357,black,  1gcptce16h1176629,michigan
10940,ford,door,2017,clean vehicle,84916,white,  1ftew1ef1hke25038,texas
32100,ford,f-150,2017,clean vehicle,24521,gray,  1ftfw1eg1hfb38806,south carolina
53000,chevrolet,3500,2018,clean vehicle,16105,black,  1gc4k1ey0jf149152,washington
6830,ford,mpv,2017,clean vehicle,35888,gold,  1fm5k7dh9hgb05630,texas
11900,dodge,caravan,2017,clean vehicle,59537,gray,  2c4rdgcg3hr864989,south carolina
26414,chevrolet,1500,2017,clean vehicle,55222,black,  3gcukrec3hg429109,michigan
4160,dodge,mpv,2018,clean vehicle,32870,gray,  3c4pdcab8jt166940,florida
19405,chevrolet,door,2017,clean vehicle,39687,silver,  1gnkvgkd0hj145877,michigan
5690,dodge,mpv,2018,clean vehicle,47085,silver,  2c4rdgeg8jr337145,florida
25900,chrysler,van,2017,clean vehicle,32224,silver,  2c4rc1gg4hr635019,south carolina
24005,chevrolet,1500,2017,clean vehicle,51293,beige,  1gcukrecxhf153500,michigan
5090,dodge,mpv,2018,clean vehicle,42989,gray,  2c4rdgcg2jr218218,florida
19500,chrysler,300,2017,clean vehicle,31311,gray,  2c3ccabg5hh538726,arizona
32012,chevrolet,1500,2017,clean vehicle,46091,white,  3gcuksej6hg353147,michigan
6800,dodge,dart,2016,clean vehicle,49033,black,  1c3cdffh0gd823262,michigan
4260,dodge,mpv,2018,clean vehicle,33957,gray,  3c4pdcabxjt311007,florida
0,dodge,van,2008,salvage insurance,177948,orange,  2d8hn44h88r669549,utah
31802,chevrolet,2500,2017,clean vehicle,19845,silver,  1gc1kveg3hf189737,michigan
7210,dodge,doors,2018,clean vehicle,38910,black,  2c3cdxct1jh233225,florida
0,dodge,door,2014,salvage insurance,123660,silver,  1c3cdzab0en111068,utah
28402,chevrolet,1500,2017,clean vehicle,31234,black,  3gcukrec4hg196549,michigan
6800,dodge,doors,2018,clean vehicle,36767,gray,  2c3cdxhgxjh125388,florida
33300,cadillac,esv,2015,clean vehicle,57932,gray,  1gys4tkj0fr538846,washington
10780,dodge,mpv,2018,clean vehicle,19420,white,  1c4sdjct1jc174166,florida
6700,ford,cutaway,2014,clean vehicle,204155,beige,  1fdfe4fs7eda23699,pennsylvania
20000,chevrolet,1500,2016,clean vehicle,93493,white,  3gcuknec9gg342967,washington
6440,chrysler,doors,2018,clean vehicle,20942,gray,  2c3ccakg8jh168457,florida
19900,ford,door,2016,clean vehicle,86826,gray,  1fm5k8f8xggc51519,south carolina
37000,chevrolet,door,2015,clean vehicle,45787,white,  1gc1kwegxff145382,washington
4040,dodge,mpv,2018,clean vehicle,50765,red,  3c4pdcab6jt273002,florida
22300,ford,explorer,2016,clean vehicle,62774,black,  1fm5k8fh9ggc37790,south carolina
31200,chevrolet,door,2011,clean vehicle,76326,gray,  1gc1kxc86bf208814,washington
4290,dodge,mpv,2018,clean vehicle,39029,white,  3c4pdcab0jt474412,florida
22800,ford,el,2016,clean vehicle,72885,silver,  1fmjk1ht3gef52975,south carolina
19002,cadillac,door,2016,clean vehicle,46467,white,  1g6ah1rx1g0193887,michigan
4160,dodge,mpv,2018,clean vehicle,6743,gray,  3c4pdcab8jt384019,florida
18500,ford,edge,2016,clean vehicle,33514,white,  2fmpk3j98gbb59781,south carolina
39000,bmw,series,2016,clean vehicle,39917,blue,  wba7f2c57gg421020,michigan
6060,dodge,doors,2018,clean vehicle,32504,black,  3c4pddgg1jt523058,florida
28800,ford,door,2016,clean vehicle,77638,white,  1ftew1ep1gfc64335,south carolina
40000,bmw,series,2016,clean vehicle,31727,gray,  wba7f2c55gg415264,michigan
6140,dodge,doors,2018,clean vehicle,52966,silver,  2c3cdxbg0jh187083,florida
21000,ford,flex,2016,clean vehicle,24157,gray,  2fmhk6c89gba05297,south carolina
20105,buick,door,2016,clean vehicle,51393,beige,  5gakvbkd8gj196085,michigan
6760,dodge,doors,2018,clean vehicle,35461,white,  2c3cdzag7jh321665,florida
25800,ford,door,2014,clean vehicle,47055,brown,  1ft7x2b62eea29551,pennsylvania
39000,bmw,series,2016,clean vehicle,33110,black,  wba7f2c57gg419607,michigan
5470,dodge,mpv,2018,clean vehicle,39721,black,  3c4pdcgg9jt216280,florida
14600,ford,door,2014,clean vehicle,75785,black,  1fm5k8f81egb23411,pennsylvania
24502,chevrolet,1500,2016,clean vehicle,33624,black,  3gcuknec6gg150809,michigan
15110,ford,door,2017,clean vehicle,42289,white,  1ft7w2bt7hec67263,texas
7900,ford,door,2014,clean vehicle,79422,white,  1fmcu0g9xeud52262,new york
27305,chevrolet,door,2016,clean vehicle,28844,blue,  3gcukrec5gg383569,michigan
15290,ford,door,2017,clean vehicle,66582,white,  1ft7w2bt0hef21363,texas
26500,ford,door,2015,clean vehicle,61436,silver,  1ftew1cf3fke12825,south carolina
25502,chevrolet,door,2016,clean vehicle,58303,silver,  3gcukrec0gg380000,michigan
7320,ford,mpv,2017,clean vehicle,55618,white,  1fmzk1cmxhkb51025,texas
3800,chevrolet,van,2009,clean vehicle,261648,white,  1gbhg396191112177,michigan
24502,chevrolet,door,2016,clean vehicle,33045,white,  3gcukrec4gg223800,michigan
4140,ford,door,2017,clean vehicle,40747,white,  3fa6p0h73hr358945,texas
1400,dodge,pk,2002,clean vehicle,185460,black,  1b7hg38n62s587845,michigan
18402,cadillac,srx,2016,clean vehicle,26667,gray,  3gyfnae36gs538333,michigan
4160,ford,door,2017,clean vehicle,37176,white,  3fa6p0hd3hr199785,texas
175,chrysler,door,2000,salvage insurance,231240,red,  2c3hd46r3yh208325,north carolina
24503,chevrolet,colorado,2016,clean vehicle,18006,brown,  1gchtde32g1339478,michigan
15840,ford,door,2017,clean vehicle,72445,white,  1ft7w2bt8hec67434,texas
20500,ford,door,2014,clean vehicle,123355,black,  1ftfw1et9efb99877,south carolina
21003,chevrolet,1500,2016,clean vehicle,44116,silver,  1gcvknec1gz396932,michigan
4200,ford,door,2017,clean vehicle,60219,red,  3fa6p0hd7hr273550,texas
17400,ford,door,2011,clean vehicle,135077,red,  1ftfw1ef1bfa03548,georgia
32001,chevrolet,door,2016,clean vehicle,32058,black,  3gcuktec5gg350066,michigan
0,ford,mpv,2017,clean vehicle,76858,white,  1fbax2cv0hkb32599,texas
15700,ford,cab,2011,clean vehicle,309564,white,  1fduf5gt8bea80212,south carolina
31009,chevrolet,door,2016,clean vehicle,33928,white,  3gcuksec3gg369662,michigan
3740,ford,wagon,2017,clean vehicle,90618,white,  nm0ls7e76h1312963,texas
5000,dodge,pickup,2001,clean vehicle,109360,white,  1b7hc16x01s213315,georgia
31002,chevrolet,door,2016,clean vehicle,71809,white,  1gc1kve82gf207345,michigan
3160,ford,doors,2017,clean vehicle,31563,gray,  1fadp3e24hl348263,texas
8600,dodge,pickup,2005,clean vehicle,219823,gray,  3d7ks28c15g771945,south carolina
6000,chevrolet,malibu,2018,clean vehicle,42090,gray,  1g1zb5st8jf226848,texas
12990,ford,door,2017,clean vehicle,126523,white,  1ft7w2b60hec03964,texas
25,chevrolet,vehicl,2020,salvage insurance,7232,black,  2gnaxkev6l6128374,kentucky
13200,buick,encore,2017,clean vehicle,60171,black,  kl4cjcsb1hb024411,texas
4410,ford,wagon,2017,clean vehicle,209915,white,  nm0ls7e79h1312701,texas
25,chrysler,door,2005,salvage insurance,151815,silver,  2c3ja43r35h179032,massachusetts
22500,chevrolet,camaro,2020,clean vehicle,13826,green,  1g1fb1rx6l0109117,georgia
7420,ford,mpv,2017,clean vehicle,55854,white,  1fmzk1cm1hkb51026,texas
13500,ford,door,2016,clean vehicle,45757,silver,  1fatp8uhxg5296168,arizona
15500,chevrolet,trax,2020,clean vehicle,16545,white,  3gncjlsb1ll142267,georgia
3540,ford,door,2017,clean vehicle,112893,white,  3fa6p0g73hr140652,texas
17000,ford,door,2016,clean vehicle,126802,no_color,  1ft7w2b60geb96643,florida
45500,chevrolet,tahoe,2020,clean vehicle,13303,white,  1gnscbkc4lr164829,georgia
4130,ford,door,2017,clean vehicle,34061,silver,  3fa6p0hd8hr305132,texas
15700,ford,door,2015,clean vehicle,70251,white,  1ftew1cg0ffa89853,arizona
45500,chevrolet,tahoe,2020,clean vehicle,13679,gray,  1gnscbkcxlr162857,georgia
4130,ford,doors,2017,clean vehicle,42426,gray,  3fa6p0lu4hr246569,texas
15500,dodge,door,2012,clean vehicle,66452,black,  1c6rd7lt4cs187334,pennsylvania
16300,chevrolet,trax,2020,clean vehicle,18221,white,  3gncjlsb4ll149763,georgia
4530,ford,mpv,2017,clean vehicle,41455,white,  1fmzk1cm7hkb51015,texas
15600,dodge,door,2011,clean vehicle,35275,black,  1d7rw3gp7bs614101,pennsylvania
45500,chevrolet,tahoe,2020,clean vehicle,13885,white,  1gnscbkc6lr159535,georgia
4100,ford,door,2017,clean vehicle,38815,gray,  3fa6p0hd2hr178393,texas
18200,dodge,door,2011,clean vehicle,162281,white,  3d73y4clxbg535425,pennsylvania
10200,chevrolet,door,2013,clean vehicle,56479,black,  2g1fc3d32d9188287,texas
4080,ford,doors,2017,clean vehicle,61027,black,  3fa6p0luxhr231039,texas
5700,ford,van,2014,clean vehicle,178703,white,  1ftss3el7eda50076,florida
10200,chevrolet,3500,2014,clean vehicle,173469,white,  1gc3czcg1ef176545,texas
5000,ford,door,2017,clean vehicle,37321,white,  3fa6p0k93hr257687,texas
1700,ford,door,2014,clean vehicle,112789,white,  1fadp3f20el320177,florida
6200,bmw,door,2011,clean vehicle,80394,gray,  wbaph7g58bnn05983,texas
3650,ford,door,2016,clean vehicle,68142,white,  1fmcu0f78gub36672,texas
10500,dodge,door,2014,clean vehicle,74203,white,  2c3cdxct3eh230364,arizona
43500,chevrolet,2500,2018,clean vehicle,57604,white,  1gc1kwey3jf123662,georgia
4610,dodge,van,2016,clean vehicle,87229,silver,  2c4rdgbg2gr345223,texas
3450,ford,door,2012,clean vehicle,90711,white,  3fahp0ha5cr389742,florida
38500,chevrolet,suburban,2018,clean vehicle,11135,silver,  1gnschkc6jr269601,georgia
6810,ford,mpv,2016,clean vehicle,66781,silver,  2fmpk3k95gbb76939,texas
2900,ford,cargo,2011,clean vehicle,190994,white,  1ftne2ew6bda76057,florida
43500,chevrolet,2500,2018,clean vehicle,56007,white,  1gc1kwey6jf259008,georgia
4450,ford,mpv,2016,clean vehicle,32486,white,  2fmpk3g96gbc42228,texas
5800,ford,door,2011,clean vehicle,195908,white,  1ftew1cm0bfc14625,florida
16500,chevrolet,equinox,2018,clean vehicle,18020,silver,  2gnaxjev9j6276848,georgia
4240,dodge,mpv,2016,clean vehicle,83262,white,  3c4pdcbb9gt181387,texas
26500,ford,pickup,2008,clean vehicle,62015,white,  1ftxw43r18eb10682,pennsylvania
13700,chevrolet,equinox,2017,clean vehicle,36421,silver,  2gnalcek6h6289807,georgia
8600,ford,door,2016,clean vehicle,73321,white,  1ftew1cf8gkd34592,texas
8000,ford,chassis,2008,clean vehicle,132379,white,  1fdxf46r08ea18180,florida
14200,chevrolet,equinox,2017,clean vehicle,28013,silver,  2gnalcek6h6288804,georgia
7040,ford,mpv,2016,clean vehicle,33291,silver,  2fmpk3k80gbc65759,texas
4700,ford,chassis,2005,clean vehicle,225236,no_color,  1fdxf46p35ea79064,florida
30851,chevrolet,door,2016,clean vehicle,43176,red,  3gcuksec6gg284475,georgia
4880,ford,mpv,2016,clean vehicle,36876,silver,  2fmpk4g97gbc51848,texas
14500,dodge,pickup,2006,clean vehicle,111782,silver,  1d7ks28c96j246101,pennsylvania
7600,chevrolet,door,2017,clean vehicle,110489,brown,  1g1ze5st0hf155999,nebraska
13270,ford,door,2016,clean vehicle,84035,white,  1ft7w2btxgeb64448,texas
12800,ford,door,2012,clean vehicle,131101,gray,  1ftfw1et3cfb01665,arizona
33000,chevrolet,1500,2018,clean vehicle,52521,white,  3gcukreh0jg303596,ontario
9280,ford,door,2016,clean vehicle,101380,white,  1ftfw1ef9gkf57726,texas
900,ford,van,2003,clean vehicle,142027,white,  1ftne24293hb19928,florida
7560,ford,door,2016,clean vehicle,111476,gray,  1ftfx1ef7gkd59790,texas
19500,ford,drw,2011,clean vehicle,76897,white,  1fd8w3gt0beb32874,pennsylvania
17100,chevrolet,malibu,2019,clean vehicle,15780,white,  1g1zd5st5kf112138,washington
8020,ford,door,2016,clean vehicle,31944,white,  1ftew1cp2gke43168,texas
10300,ford,fiesta,2019,clean vehicle,18937,black,  3fadp4bjxkm123238,missouri
22600,chevrolet,van,2019,clean vehicle,9706,white,  1gcwgafgxk1243764,washington
10480,ford,doors,2016,clean vehicle,57289,gray,  wf0dp3th0g4113219,texas
10300,ford,fiesta,2019,clean vehicle,19956,silver,  3fadp4bj4km123235,missouri
22700,chevrolet,van,2019,clean vehicle,6075,white,  1gcwgafg4k1252945,washington
7410,ford,door,2016,clean vehicle,21034,gray,  1ftex1ep1gfd60365,texas
10300,ford,fiesta,2019,clean vehicle,22881,gray,  3fadp4bj7km123231,missouri
10300,chevrolet,door,2013,clean vehicle,167600,gray,  1gc4k0cgxdf194396,washington
7570,ford,door,2016,clean vehicle,37252,white,  1ftfx1ef0gkf25969,texas
67000,dodge,challenger,2019,clean vehicle,10944,blue,  2c3cdzl97kh518237,ohio
18900,chevrolet,impala,2019,clean vehicle,27601,white,  1g11z5s37ku129047,texas
12560,ford,doors,2019,clean vehicle,15958,white,  1fd8w3ht1kee23298,florida
33000,dodge,durango,2019,clean vehicle,32251,white,  1c4sdjct6kc717612,ohio
18300,chevrolet,impala,2019,clean vehicle,25809,black,  2g11z5s33k9132248,texas
11760,ford,cab,2017,clean vehicle,30553,white,  1fd8w3ht4hed36245,texas
31700,dodge,durango,2019,clean vehicle,26549,red,  1c4sdjct5kc744865,ohio
25,dodge,door,2007,salvage insurance,160528,dark blue,  2b3ka43g87h836300,minnesota
0,ford,door,2000,salvage insurance,124969,black,  1fafp34p7yw270338,oklahoma
7340,ford,doors,2019,clean vehicle,15854,gray,  1fatp8uh7k5172626,florida
8200,hyundai,door,2017,clean vehicle,56690,white,  5npd84lf6hh128808,connecticut
3000,kia,door,2013,clean vehicle,97142,silver,  knagm4a75d5378293,missouri
6530,jeep,mpv,2019,clean vehicle,10185,black,  3c4njdcb3kt659526,georgia
0,mazda,door,2009,salvage insurance,117541,gray,  jm3er293590215768,indiana
12700,kia,soul,2019,clean vehicle,23514,silver,  kndjp3a55k7006351,california
13800,kia,sorento,2017,clean vehicle,86959,gray,  5xyphda50hg232046,north carolina
0,chevrolet,pickup,1998,salvage insurance,258631,gray,  1gccs1445wk226994,texas
725,ford,door,2017,salvage insurance,67279,gray,  3fa6p0h75hr150081,virginia
7400,ford,doors,2019,clean vehicle,16482,gray,  1fatp8uh2k5188622,florida
9800,hyundai,elantra,2017,clean vehicle,35687,red,  kmhd84lf5hu191402,connecticut
0,honda,door,2003,salvage insurance,152608,white,  1hgcm56363a030975,arkansas
4400,jeep,mpv,2019,clean vehicle,17911,green,  3c4njcbbxkt664931,georgia
10330,infiniti,mpv,2019,clean vehicle,21278,blue,  5n1dl0mm9kc550722,florida
1800,chevrolet,door,2011,salvage insurance,47269,black,  2g1fb3ddxb9212618,arkansas
50,chevrolet,door,2008,salvage insurance,172102,blue,  1g1al58f787159241,texas
720,ford,wagon,2006,clean vehicle,26914,no_color,  1fafp36n06w137851,florida
22800,ford,door,2017,clean vehicle,67217,red,  1ftew1ep3hfb25518,michigan
2500,ford,door,2017,salvage insurance,78698,black,  1fmcu9gd2huc27625,california
0,ford,door,2003,salvage insurance,246065,gold,  1fafp55u03a242094,kansas
9190,gmc,mpv,2017,clean vehicle,41961,black,  1gkknxls3hz174527,virginia
10900,jeep,mpv,2019,clean vehicle,13273,red,  1c4hjxeg1kw609998,michigan
10400,infiniti,mpv,2019,clean vehicle,31713,black,  5n1dl0mm1kc552741,florida
0,chevrolet,door,2004,salvage insurance,0,maroon,  3gnek12t74g240524,wyoming
0,chevrolet,door,2003,salvage insurance,194673,gray,  1gndt13s632267445,texas
7320,chevrolet,pickup,2008,clean vehicle,325611,silver,  1gchk23648f125262,florida
22809,ford,f-150,2017,clean vehicle,50732,black,  1ftfx1ef5hke41700,michigan
0,ford,van,1998,salvage insurance,186855,blue,  2fmda5143wba16791,california
0,ford,door,2013,salvage insurance,94004,black,  3fa6p0h74dr270819,minnesota
5520,gmc,mpv,2017,clean vehicle,52904,silver,  2gkfltek8h6226257,virginia
10900,jeep,mpv,2019,clean vehicle,14195,orange,  1c4hjxeg1kw608401,michigan
6330,jeep,mpv,2019,clean vehicle,43965,red,  1c4pjldbxkd300679,florida
0,chevrolet,door,2009,salvage insurance,117059,black,  kl1td66e39b645208,colorado
25,chevrolet,pickup,2010,salvage insurance,149189,white,  3gcrkse37ag234620,colorado
2320,dodge,door,2007,clean vehicle,112182,red,  2b3ka43g67h630568,florida
23702,ford,door,2017,clean vehicle,49024,black,  1ftew1ep4hkc08477,michigan
